ofsmall-bowel obstruction and	2	9.5238
which may reflect	2	9.5238
[**3076-12-8**] by i	1	4.7619
chronic foley for	1	4.7619
remarkable for i	1	4.7619
neuro~responding to stim	1	4.7619
ago-hernia repair (epigastri	1	4.7619
timing).this pregancy i	1	4.7619
notable for: i	1	4.7619
disorder (mult hospitalizations),hypothyroid,	1	4.7619
schizophreniaseizure disorder-unclear historyvertigohypercholesterolemia	1	4.7619
anemia.4. sub-pleural nodule.secondary:1.	1	4.7619
place urine 30-50cc/hr.	1	4.7619
hx of d	1	4.7619
to painful stimul	1	4.7619
screams to stiml	1	4.7619
conceived with i	1	4.7619
3,4,5 and fusion,	1	4.7619
- unclear etiology	1	4.7619